City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Hangu,CN,77.04,few clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
349,Meulaboh,ID,85.24,broken clouds,4.1363,96.1285,Kost Pria
350,Bodden Town,KY,82.92,few clouds,19.2833,-81.25,Will T Place
353,Katsuura,JP,81.39,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
356,Kudahuvadhoo,MV,82.27,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
359,Oranjestad,AW,81.73,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
362,Amahai,ID,83.12,broken clouds,-3.3333,128.9167,HOTEL ISABELA
363,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
364,Boone,US,80.78,scattered clouds,39.0334,-92.3335,Cottonwoods RV Park
366,Sambava,MG,75.0,few clouds,-14.2667,50.1667,Melrose
367,Teknaf,BD,83.7,broken clouds,20.8624,92.3058,Forestry Guesthouse
368,Dali,CN,75.09,few clouds,25.7,100.1833,Dali Travelling With Hostel
371,Wanning,CN,86.88,broken clouds,18.8003,110.3967,Paradise Hotel
375,Cangzhou,CN,78.31,few clouds,38.3167,116.8667,Jinji Express Hotel
376,Vaitape,PF,78.42,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
378,Ormara,PK,81.36,few clouds,25.2088,64.6357,Kenara Colony House for Rent
379,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
396,Benghazi,LY,78.66,clear sky,32.1167,20.0667,Tibesti Hotel
399,Balykshi,KZ,80.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
401,Nabire,ID,85.51,broken clouds,-3.3667,135.4833,Hotel Nusantara I
402,Kualakapuas,ID,88.23,overcast clouds,-3.0091,114.3876,Guest House Izonk
406,Gasa,PS,80.89,broken clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
409,Las Varas,MX,78.75,overcast clouds,21.1667,-105.1667,Casa Palapas
412,Shingu,JP,79.43,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
415,Fayaoue,NC,76.68,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
417,Kamaishi,JP,76.5,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
418,Samarai,PG,81.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
419,Kanigiri,IN,88.99,overcast clouds,15.4,79.5167,COMFORT INN
421,Zhanaozen,KZ,78.94,clear sky,43.3,52.8,K.korabay 28A
424,Bilma,NE,87.06,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
427,Itarema,BR,77.18,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
432,Oussouye,SN,75.43,moderate rain,12.485,-16.5469,Auberge du Routard
433,Almeirim,BR,75.11,broken clouds,-1.5233,-52.5817,Ricácio Hotel
438,Seybaplaya,MX,80.02,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
440,Maebaru,JP,76.66,overcast clouds,33.55,130.2,Guest house Kotonoha
