City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,Toktogul,41.8708,72.9402,64.63,33,26,0.87,KG,2022-09-16 22:13:00
111,Severo-Kurilsk,50.6789,156.125,51.87,75,18,14.14,RU,2022-09-16 22:13:00
112,Labuhan,-6.8844,112.2051,75.72,83,97,8.7,ID,2022-09-16 22:13:01
113,Coahuayana,18.7333,-103.6833,80.15,89,78,4.65,MX,2022-09-16 22:13:01
114,Castro,-24.7911,-50.0119,51.12,94,37,7.2,BR,2022-09-16 22:13:01
115,Abeche,13.8292,20.8324,78.42,65,90,4.59,TD,2022-09-16 22:13:02
116,Morro Bay,35.3658,-120.8499,89.4,61,10,8.99,US,2022-09-16 22:13:02
117,Hun,29.1268,15.9477,82.96,20,0,8.3,LY,2022-09-16 22:13:03
118,Shirokiy,49.758,129.523,53.13,94,0,6.38,RU,2022-09-16 22:13:03
119,Saint George,37.1041,-113.5841,89.44,28,0,5.99,US,2022-09-16 22:09:05
120,Humaita,-7.5061,-63.0208,87.4,47,87,5.82,BR,2022-09-16 22:13:04
121,Bengkulu,-3.8004,102.2655,74.68,91,100,4.52,ID,2022-09-16 22:13:04
122,Kahului,20.8947,-156.47,91.42,59,40,12.66,US,2022-09-16 22:13:04
123,Dikson,73.5069,80.5464,32.58,91,43,6.82,RU,2022-09-16 22:13:05
124,Zhigansk,66.7697,123.3711,35.73,95,68,11.61,RU,2022-09-16 22:13:05
125,Norman Wells,65.282,-126.8329,55.44,71,75,10.36,CA,2022-09-16 22:13:05
126,Caliling,9.9804,122.4814,79.79,82,99,7.78,PH,2022-09-16 22:13:06
127,Muros,42.7762,-9.0603,66.09,78,62,10.8,ES,2022-09-16 22:13:06
128,Beringovskiy,63.05,179.3167,45.57,96,100,25.99,RU,2022-09-16 22:12:18
129,San Patricio,28.017,-97.5169,91.35,49,71,11.43,US,2022-09-16 22:13:07
130,Jiuquan,39.7432,98.5174,57.87,36,0,3.76,CN,2022-09-16 22:13:07
131,Faanui,-16.4833,-151.75,78.06,73,53,23.82,PF,2022-09-16 22:13:08
132,Sabha,27.0377,14.4283,84.61,17,0,7.85,LY,2022-09-16 22:13:08
133,Lorengau,-2.0226,147.2712,83.35,68,89,8.88,PG,2022-09-16 22:13:09
134,Sale,34.0389,-6.8166,69.75,88,40,0.0,MA,2022-09-16 22:09:07
135,Roebourne,-20.7833,117.1333,70.21,30,9,10.78,AU,2022-09-16 22:13:09
136,Gat,31.61,34.7642,77.68,100,0,5.32,IL,2022-09-16 22:12:35
137,Paengaroa,-37.8167,176.4167,61.9,68,56,1.01,NZ,2022-09-16 22:13:10
138,Touros,-5.1989,-35.4608,76.77,72,16,13.85,BR,2022-09-16 22:13:10
139,Yulara,-25.2406,130.9889,54.36,47,0,6.62,AU,2022-09-16 22:14:11
140,Ponta Do Sol,32.6667,-17.1,74.71,79,2,3.67,PT,2022-09-16 22:14:11
141,New Norfolk,-42.7826,147.0587,52.92,78,87,1.01,AU,2022-09-16 22:14:11
142,Dallas,32.7668,-96.7836,93.78,50,20,11.5,US,2022-09-16 22:12:15
143,Oga,46.4631,10.347,50.68,82,52,7.05,IT,2022-09-16 22:14:12
144,Aklavik,68.2191,-135.0107,41.0,81,75,0.0,CA,2022-09-16 22:14:12
145,Hasaki,35.7333,140.8333,75.6,75,100,9.6,JP,2022-09-16 22:14:13
146,Caravelas,-17.7125,-39.2481,71.96,88,7,5.35,BR,2022-09-16 22:14:13
147,Ketchikan,55.3422,-131.6461,57.67,72,75,12.66,US,2022-09-16 22:14:14
148,Puerto Maldonado,-12.6,-69.1833,81.0,54,0,2.3,PE,2022-09-16 22:14:14
149,Sao Felix Do Xingu,-6.6447,-51.995,88.5,34,83,0.51,BR,2022-09-16 22:14:14
150,Banjar,-8.19,114.9675,73.17,76,100,5.35,ID,2022-09-16 22:14:15
151,Chapais,49.7834,-74.8492,53.38,47,23,5.84,CA,2022-09-16 22:14:15
152,Sombrio,-29.1139,-49.6167,59.94,83,46,4.29,BR,2022-09-16 22:14:16
153,San Carlos Del Zulia,9.0,-71.9135,84.72,70,100,7.99,VE,2022-09-16 22:14:16
154,Tuatapere,-46.1333,167.6833,47.73,62,6,4.59,NZ,2022-09-16 22:14:17
155,Sabang,5.8933,95.3214,81.99,77,52,17.47,ID,2022-09-16 22:14:17
156,Richmond,37.5538,-77.4603,81.07,54,0,6.91,US,2022-09-16 22:14:18
157,Chokurdakh,70.6333,147.9167,33.42,86,95,3.13,RU,2022-09-16 22:14:18
158,Kulu,39.0951,33.0799,72.01,28,0,1.01,TR,2022-09-16 22:14:18
159,Jamestown,42.097,-79.2353,74.01,61,0,5.75,US,2022-09-16 22:10:58
160,Shar,49.5886,81.0453,40.1,82,0,5.55,KZ,2022-09-16 22:14:19
161,Cayenne,4.9333,-52.3333,82.44,74,0,4.61,GF,2022-09-16 22:10:58
162,Sola,-13.8833,167.55,80.44,76,28,21.25,VU,2022-09-16 22:14:20
163,Kenai,60.5544,-151.2583,51.89,93,100,6.91,US,2022-09-16 22:14:20
164,Prince Albert,53.2001,-105.7677,62.55,63,75,10.36,CA,2022-09-16 22:12:49
165,Pierre,44.3683,-100.351,77.27,54,0,4.61,US,2022-09-16 22:10:13
166,Manokwari,-0.8667,134.0833,77.16,81,100,3.24,ID,2022-09-16 22:14:21
167,Puerto Ayora,-0.7393,-90.3518,76.96,88,83,5.01,EC,2022-09-16 22:14:21
168,Port Alfred,-33.5906,26.891,62.19,89,99,5.01,ZA,2022-09-16 22:14:22
169,Adwa,14.1646,38.8955,61.05,79,21,1.32,ET,2022-09-16 22:14:22
170,Thinadhoo,0.5333,72.9333,81.07,70,7,5.84,MV,2022-09-16 22:14:23
171,Cherskiy,68.75,161.3,35.49,98,100,8.93,RU,2022-09-16 22:14:23
172,Mayumba,-3.432,10.6554,74.08,86,99,5.23,GA,2022-09-16 22:14:23
173,Leningradskiy,69.3833,178.4167,34.79,98,100,11.43,RU,2022-09-16 22:14:24
174,Palmer,42.1584,-72.3287,71.24,56,40,8.05,US,2022-09-16 22:14:24
175,Lompoc,34.6391,-120.4579,81.7,67,0,19.57,US,2022-09-16 22:14:25
176,Yar-Sale,66.8333,70.8333,49.89,81,100,7.11,RU,2022-09-16 22:14:25
177,Upernavik,72.7868,-56.1549,36.28,89,13,14.67,GL,2022-09-16 22:14:25
178,Hamilton,39.1834,-84.5333,83.89,53,0,4.61,US,2022-09-16 22:14:26
179,Charters Towers,-20.1,146.2667,72.64,67,18,5.44,AU,2022-09-16 22:14:26
180,Port Hedland,-20.3167,118.5667,59.05,55,53,5.75,AU,2022-09-16 22:14:27
181,Pinotepa Nacional,16.3167,-98.0167,77.25,87,100,2.53,MX,2022-09-16 22:14:27
182,Canton,23.1167,113.25,78.75,66,4,1.61,CN,2022-09-16 22:14:18
183,Caconda,-13.7333,15.0667,63.48,30,36,3.85,AO,2022-09-16 22:14:28
184,Hearst,49.6835,-83.6665,52.05,68,100,5.88,CA,2022-09-16 22:11:02
185,Nalut,30.3333,10.85,85.15,13,0,8.03,LY,2022-09-16 22:14:29
186,Kendari,-3.945,122.4989,73.33,93,100,2.93,ID,2022-09-16 22:15:29
187,Port-Cartier,50.0334,-66.8654,52.02,60,100,16.55,CA,2022-09-16 22:15:29
188,Fortuna,40.5982,-124.1573,67.93,70,29,7.0,US,2022-09-16 22:15:30
189,Sompeta,18.9333,84.6,81.41,79,97,5.19,IN,2022-09-16 22:15:31
190,Draguignan,43.5333,6.4667,70.84,41,44,17.27,FR,2022-09-16 22:15:31
191,Kattivakkam,13.2167,80.3167,84.29,72,63,10.92,IN,2022-09-16 22:15:31
192,Skibbereen,51.55,-9.2667,52.11,82,3,6.04,IE,2022-09-16 22:15:32
193,Huarmey,-10.0681,-78.1522,65.8,77,39,10.02,PE,2022-09-16 22:15:32
194,Kavieng,-2.5744,150.7967,84.06,66,100,13.2,PG,2022-09-16 22:15:32
195,Shenzhen,22.5455,114.0683,88.99,78,1,0.81,CN,2022-09-16 22:13:49
196,Xuddur,4.1213,43.8894,71.69,76,100,13.96,SO,2022-09-16 22:15:33
197,Kribi,2.95,9.9167,75.69,89,100,6.17,CM,2022-09-16 22:15:34
198,Port Hardy,50.6996,-127.4199,57.38,77,75,2.3,CA,2022-09-16 22:15:34
199,Novyy Urgal,51.0736,132.5642,49.84,92,85,3.62,RU,2022-09-16 22:15:34
