City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Bac Lieu,VN,9.285,105.7244,87.37,60,49,17.52,scattered clouds
110,Nisia Floresta,BR,-6.0911,-35.2086,77.38,89,9,7.92,clear sky
111,Mao,ES,39.8885,4.2658,68.56,68,0,9.22,clear sky
112,Ambilobe,MG,-13.2,49.05,85.1,31,14,9.04,few clouds
113,Namibe,AO,-15.1961,12.1522,62.11,82,83,6.15,broken clouds
114,La Trinite,MQ,14.7376,-60.9629,78.85,94,75,0.0,broken clouds
115,Longyearbyen,SJ,78.2186,15.6401,24.64,86,40,12.66,scattered clouds
116,Namwala,ZM,-15.7504,26.4384,76.59,27,33,3.71,scattered clouds
117,Vilyuysk,RU,63.7553,121.6247,41.23,43,55,5.1,broken clouds
118,Vanavara,RU,60.34,102.2797,47.86,85,100,6.2,overcast clouds
119,Mpulungu,ZM,-8.7623,31.1141,80.55,46,89,3.91,overcast clouds
120,Lebu,CL,-37.6167,-73.65,41.59,83,1,4.88,clear sky
121,Natal,BR,-5.795,-35.2094,77.22,88,20,4.61,few clouds
122,Palmas Del Socorro,CO,6.4067,-73.2869,63.46,98,99,0.43,overcast clouds
123,Polunochnoye,RU,60.8697,60.4153,53.37,73,100,3.38,overcast clouds
124,Mahebourg,MU,-20.4081,57.7,75.25,73,75,17.27,broken clouds
125,Manokwari,ID,-0.8667,134.0833,82.9,71,90,6.11,overcast clouds
126,Ribeira Grande,PT,38.5167,-28.7,73.63,87,9,3.49,clear sky
127,Kibondo,TZ,-3.5864,30.7203,71.24,59,92,2.15,overcast clouds
128,Barrow,US,71.2906,-156.7887,41.02,87,100,8.05,overcast clouds
129,Constantine,DZ,36.365,6.6147,65.61,82,0,2.3,clear sky
130,Bambanglipuro,ID,-7.95,110.2833,81.77,71,89,13.24,overcast clouds
131,Mount Gambier,AU,-37.8333,140.7667,53.51,87,40,6.91,scattered clouds
132,Dikson,RU,73.5069,80.5464,33.82,66,70,16.53,broken clouds
133,Ranfurly,NZ,-45.1333,170.1,51.01,73,63,6.11,broken clouds
134,Severo-Kurilsk,RU,50.6789,156.125,52.63,97,100,19.01,light rain
135,Vao,NC,-22.6667,167.4833,73.09,76,0,13.76,clear sky
136,Slantsy,RU,59.1182,28.0914,49.37,85,100,6.02,overcast clouds
137,Camacha,PT,33.0833,-16.3333,65.62,88,75,2.3,broken clouds
138,Singaraja,ID,-8.112,115.0882,82.92,68,13,1.66,few clouds
139,Ketchikan,US,55.3422,-131.6461,55.87,71,0,6.91,clear sky
140,Springfield,US,37.2153,-93.2982,77.85,82,0,11.5,clear sky
141,Tarko-Sale,RU,64.9225,77.785,47.01,89,100,12.97,overcast clouds
142,Concepcion Del Uruguay,AR,-32.4825,-58.2372,55.98,99,49,1.01,scattered clouds
143,Puerto Narino,CO,-3.7703,-70.3831,77.76,71,100,2.19,light rain
144,Qaanaaq,GL,77.484,-69.3632,21.58,52,57,8.99,broken clouds
145,Hammerfest,NO,70.6634,23.6821,43.25,100,75,17.27,broken clouds
146,Norman Wells,CA,65.282,-126.8329,39.24,93,75,2.3,broken clouds
147,Mahenge,TZ,-8.6833,36.7167,65.28,73,81,5.88,broken clouds
148,Makaryev,RU,57.8797,43.8069,60.78,95,100,10.85,overcast clouds
149,Mwanza,TZ,-2.5167,32.9,69.85,88,40,0.0,scattered clouds
150,Bin Qirdan,TN,33.1378,11.2197,78.55,80,68,6.38,broken clouds
151,Tsabong,BW,-26.0217,22.401,53.2,48,84,22.15,broken clouds
